Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,5,,Simply the best! 😁
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,5,,"Current devices: Samsung note 4, upgraded to the note 8, Samsung note 10.1 tablet. Works great, love it. Awesome update on how the pages turns like a book. Been waiting for this for so long. I still love amazon kindle app"
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,4.2.0.101,3,,nice
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,5,"Rollback option, please","The last few updates have been running successively slower, but this one has finally ground to a halt. Lovely as the grey screen is to admire, I would prefer to read the books I've bought when on long journeys. It's a shame that the app has slowed down so much, hence its drop from 5 to 1."
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Very good app. It saves my pocket money.
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.12.0.59,3,,Ehh...Whatever
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,4,,Stopped updating on S6 along with Alexa app.
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,2,,"why did you put a security code that can't be read clearly? Even changing my font size to tiny, you still can't fully see the bottom row. I also don't understand why if I have kindle on my fire, with the exact same email etc, I can't just have it on my phone too, without jumping through hoops"
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.0.0.73,1,,This app pushed a full screen overlay over the top of MY android smartphone home-screen.  I have to clear it away to use my phone. It has no uninstall option.  If you like intrusive ads unexpectedly interrupting the use of your phone with no option to uninstall go ahead and push the button.
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,Very good!,"A button at the top to easily open table of contents, bookmarks,  highlights would be nice (now only via menu)."
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,3,,"it might be a problem with my cellphone and the model it is a moto one but everytime I read and listen to a book in the app and i happen to coise ot for some reason, it glitches and it goes back in the reading progress and then I have to manually look for the place I was at, I have followed all the instructions given by the amazon staff but the problem persists, all they tell me is that my books are stuck in a download loop. but for every other aspect the app is amazing."
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,5,,always easy to use and find what I am looking for.
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.14.1.0,1,,"I been trying to get in touch with this kindle's representative, for issues that I have ,!!!!!!!for a long time !!!!,"
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Awesome
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,great platform for ebooks
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,4.11.0.127,5,,outstandingly proceeding
Google Play,English,1/31/2019,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,2,,I was OK with it until i got to download free books but wasn't given enough time to read them . Why was there a time limit ? A person can't read 10 full books in hours.
