Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,1,,"Using Kindle for years, tons of books.  So annoying, now how do I find the unread books?  Totally sucky upgrade.  Home page covered with suggestions I'm not interested in.  Time to leave Amazon that I enjoyed before?  At least give us the option to use old or new version.  PLEASE . . .Get new designers ASAP!"
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,7.7.0.123,5,,Great app
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Bice
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,1,,Uninstall because there is no Indonesia for region.
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.9.0.72,5,,I love to read but my family hates moving my books. This app is a win for my and them. I can still read and they don't have to move my books.
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Not sure
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Love it
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Cool
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,1,,"I don't want this on my phone, but I can't delete it"
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Good
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,1,,Hated it
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Like it
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.8.0.54,5,,I think it good for young people and it can help you
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,Please make available word wise in every book. And rest are awesome. Thanks
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,I like this
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,I love kindle 😘😍
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,The best book reading app ever 😁😁😂😂😍I love this app.
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Good
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Works well with good and useful features Awesome App
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,3,,"Although this app provides a wonderful reading experiences, in recent months it has slowed down considerably, taking an inordinate amount of time to load. I do appreciate the ability to switch between the library and the Kindle store without having to open a browser. A few tweaks are in order."
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Kool Thank You.
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,good
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,3,,"ok , needs better search engines. needs for on samsungs phones to be Dex capable . the dictionary is weird ,i can't get it to work . create shelves that we can name and put our books on, how we like to cat them . i could go on and on. lets just say i expected so much more from a company that made a book reader . hoping for more :)"
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Awesome
Google Play,English,8/31/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,I love reading !!!!
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Awasome
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,4,,"Only reading app i'd use, but ever since last update i can't get rid of the icon that appears to show downloading book. Before i could just press clear and it got rid of them. Now im having to restart my tablet to clear it."
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,4,,"I would like it better if the app allowed you to download all of a favorite authors books at one time, or add all the books to a collection from a favorite author without having to scan through all the books in my library. Other than that the app is pretty good."
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,1,,Notuch good
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,3,,Kindle app can't open mobi files ...
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Mhhhh.
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,It is good what about. Study. It should be given
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,Love it
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,3.8.2.4,5,,I love it
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,4,,Fine
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Good app 👍😎
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,3,,Needs the continuous scroll reading option that Kindle on iOS has. That format has been a game-changer for me and I'd like to see the feature added to the Android version of this app.
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Nice
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,"I use this app every day, reading and soon, listening to audiobooks"
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,good
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Good
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,7.8.0.113,5,,It is great
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,I love this app It help me To know the story etc
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Perfectly good app for a person who studies stories
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.9.0.72,2,,Still no split screen....
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Dr sarvapali Dr sharavapaki
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.8.0.54,5,,I'm in love
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,3,,U only get 5 days unless u pay so nope
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,3,,Nice app
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,I love this app
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,3,,"It's still wonky. And it freezes more often than it should,.. the Nook software is still miles ahead in all ways, but it can't do everything, this thingy tries. It'll read a book to you (but not as good as Audible, still the gold standard for all things orated.) Yep, 3, 3.5 stars. That's a solid rating for an app that tries to do everything and does a lot of things passibly."
Google Play,English,8/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,3,,Better
