Review,rating,week_start,Compound,Positive,Neutral,Negative
Good,5,5/28/2018,0.4404,1,0,0
love it,5,5/28/2018,0.6369,0.808,0.192,0
HATEEEEE TOOOO READDDDDD I HATTTTEEEE ITTTTT well is good for little kids but me HATEEEEEEEE!!! 😡😡😡,1,5/28/2018,0.5229,0.252,0.748,0
Needs some work for sure,3,5/28/2018,0.3182,0.365,0.635,0
Good,5,5/28/2018,0.4404,1,0,0
I love kindle because it let's you read what ever book you want,5,5/28/2018,0.6705,0.355,0.645,0
"Instead of taking me to Amazon United States, it keeps re-routing me to Amazon UK. I don't find any way to change it.",2,5/28/2018,0.6369,0.246,0.754,0
This is very nice app for reading books and for increase our knowledge . I recommend this app .,5,5/28/2018,0.7841,0.378,0.622,0
Great aap,5,5/28/2018,0.6249,0.804,0.196,0
Can't sort price low to high/high to low on the store anymore!,2,5/28/2018,0.4442,0.282,0.718,0
Kindleing,5,5/28/2018,0,0,1,0
I like this app so much.,4,5/28/2018,0.3612,0.385,0.615,0
Nice app to read books...i loved it,5,5/28/2018,0.7717,0.573,0.427,0
Recent update has messed up the Store. Seems to me that would be one area you would want to work the best. I think you have more updates than necessary. If it works stop fixing it!,2,5/28/2018,0.2942,0.14,0.749,0.111
It is the good source of information,4,5/28/2018,0.4404,0.326,0.674,0
Good job,5,5/28/2018,0.4404,0.744,0.256,0
Latest update will not load ANY of my library! The thumbnails are there but clicking one causes - - Spinning loader of eternity. Huawei Honor 6x. Please look into this. Thanks. Android 7.1.,2,5/28/2018,0.9202,0.302,0.698,0
"All around good for reading,",5,5/28/2018,0.4404,0.42,0.58,0
Iwannt learn something,5,5/28/2018,0,0,1,0
Great,5,5/28/2018,0.6249,1,0,0
I like too much this app,5,5/28/2018,0.3612,0.385,0.615,0
Superb,5,5/28/2018,0.6249,1,0,0
I AM A KID,1,5/28/2018,0,0,1,0
Amazing,5,5/28/2018,0.5859,1,0,0
Good app,5,5/28/2018,0.4404,0.744,0.256,0
You are mad foolish,4,5/28/2018,-0.6486,0,0.274,0.726
I think it's okay but I want to read the Kai Hiwatari books No more words,5,5/28/2018,-0.2263,0.174,0.659,0.168
Cool app for reading but careless about data,4,5/28/2018,-0.3818,0.151,0.55,0.298
Usually love it. Recent update won't let me download books I've bought and keeps coming up with error messages around books I've downloaded and am reading that I need to delete and re-download them. So annoying.,2,5/28/2018,-0.2479,0.099,0.755,0.146
wurst app,1,5/28/2018,0,0,1,0
A perfect app for bookworms,5,5/28/2018,0.5719,0.552,0.448,0
Swami nigurananda r book chai amr,5,5/28/2018,0,0,1,0
OK,5,5/28/2018,0.296,1,0,0
Good,4,5/28/2018,0.4404,1,0,0
Improvement is needed,4,5/28/2018,0.4588,0.6,0.4,0
Very nice.,5,5/28/2018,0.4754,0.756,0.244,0
Good,5,5/28/2018,0.4404,1,0,0
Oohho,5,5/28/2018,0,0,1,0
.....!!!!!!!!!!! Try to read news is better,1,5/28/2018,0.6209,0.404,0.596,0
Superb,5,5/28/2018,0.6249,1,0,0
Nice app,5,5/28/2018,0.4215,0.737,0.263,0
This app is installing so long.... Ohhhh my god....,1,5/28/2018,0,0,1,0
Good,5,5/28/2018,0.4404,1,0,0
Loved it.,5,5/28/2018,0.5994,0.796,0.204,0
Jabardast,5,5/28/2018,0,0,1,0
thanks,5,5/28/2018,0.4404,1,0,0
It's just awesome. It had made me a book worm of story books,5,5/28/2018,0.6249,0.272,0.728,0
Keeps crashing.... No reason. Was acting really good otherwise. But I'm on the 2nd crash in 2days. No reason.,4,5/28/2018,-0.8794,0.074,0.529,0.397
You are charged to get the good version of Kindle if that's what you want to call it..,2,5/28/2018,0.34,0.2,0.714,0.086
Nice app,4,5/28/2018,0.4215,0.737,0.263,0
Great aop,5,5/28/2018,0.6249,0.804,0.196,0
Love it,5,5/28/2018,0.6369,0.808,0.192,0
"Amazon apparently does not like people using VPN! I had to go to a non-public private wifi source to get the app to work as I could not use VPN. Then it worked properly and I downloaded some books to read offline. I was then able to use VPN OK for everything else, but not with Kindle or Amazon. As I had already downloaded everything Kindle then worked OK.",5,5/28/2018,0.7752,0.138,0.822,0.04
I think it's great !,5,5/28/2018,0.6588,0.687,0.313,0
let me read it first,5,5/28/2018,0,0,1,0
Plop,1,5/28/2018,0,0,1,0
U Change the world's reading behaviour..,5,5/28/2018,0,0,1,0
I updated it 31 mins ago and i can not get my kindle to open it needs fix,5,5/28/2018,0,0,1,0
No ads wood be nice,1,5/28/2018,0.1531,0.35,0.375,0.275
Nice app but has Iimited books,4,5/28/2018,0.2263,0.275,0.725,0
"New update, has made everything slow as molasses. After typing something into the search bar, I have to wait 10 seconds before the letters show up in the bar",2,5/28/2018,0,0,1,0
Nice thing but why then e_book,4,5/28/2018,0.2263,0.275,0.725,0
That is important all people,5,5/28/2018,0.2023,0.31,0.69,0
Nice app,4,5/28/2018,0.4215,0.737,0.263,0
Good app,5,5/28/2018,0.4404,0.744,0.256,0
Really convenient and quick downloads,5,5/28/2018,0,0,1,0
Don't like it don't want it.,1,5/28/2018,-0.3252,0,0.546,0.454
Aaaaaaa,5,5/28/2018,0,0,1,0
Worst app ever,1,5/28/2018,-0.6249,0,0.328,0.672
Good,5,5/28/2018,0.4404,1,0,0
Nice update,4,5/28/2018,0.4215,0.737,0.263,0
Resourceful,5,5/28/2018,0,0,1,0
"""Amazon has been doing such an amazing job!""",5,5/28/2018,0.6996,0.491,0.509,0
Let me check,2,5/28/2018,0,0,1,0
"App is amazing until you want to read in a bright area. The app seems too want auto adjust the screen brightness to the lowest setting when it is too bright out causing the book to be dang neat impossible too read unless you want tobstrain your eyes and get headaches. I pay for kindle unlimited but the app feels very limited. It doesnt matter what i have my brightness settings set to it will always set the screen brightness to super low(almost completely off) if its bright wherever i am (outside on a sunny day, or next to a bright light)",3,5/28/2018,0.9821,0.304,0.639,0.057
Good,4,5/28/2018,0.4404,1,0,0
Wow,5,5/28/2018,0.5859,1,0,0
Best app ever.....,5,5/28/2018,0.6369,0.677,0.323,0
"I don't use Amazon for anything, so why can o NOT uninstall them? Taking up space",2,5/28/2018,0.5216,0.223,0.689,0.087
Awsm one,5,5/28/2018,0,0,1,0
This aap is awesome,5,5/28/2018,0.6249,0.577,0.423,0
I love reading on this app daily. Great lay out and easy to use.,5,5/28/2018,0.9042,0.528,0.472,0
No Thanks,4,5/28/2018,0.1779,0.569,0,0.431
Thanks u so much kindle,5,5/28/2018,0.4404,0.492,0.508,0
Its really impressive.i ll recommend it to everyone who is fond of reading books,5,5/28/2018,0.6872,0.321,0.679,0
Nice app for reading,4,5/28/2018,0.4215,0.483,0.517,0
Is very nice,5,5/28/2018,0.4754,0.607,0.393,0
It's great I loved it ♡♡,5,5/28/2018,0.8402,0.727,0.273,0
I have lots of books i like to read.,5,5/28/2018,0.3612,0.294,0.706,0
Good,4,5/28/2018,0.4404,1,0,0
It is very good,5,5/28/2018,0.4927,0.516,0.484,0
Average,3,5/28/2018,0,0,1,0
I love to read and I spend a lot of money and time on it. I love the app for the most part but I wish they didn't make you provide a credit card number for kindle unlimited it would be cool it they made it where if you have a gift card balance they take directly out of that not everyone likes having credit cards to many things can go wrong with them they can get stolen or you get to card happy and get so in dept you have a heck of a time crawling out of the hole you dug yourself into.,1,5/28/2018,0.9118,0.214,0.691,0.094
Awesome :),5,5/28/2018,0.7964,1,0,0
I cant god damn uninstall it it is just wasting space on my phone,1,5/28/2018,0.3879,0.313,0.458,0.23
Mind blowing it was to amazing,5,5/28/2018,0.5859,0.432,0.568,0
Bakwas,1,5/28/2018,0,0,1,0
This app makes my journey reliable as it fulfills all my books requirement.,5,5/28/2018,0.25,0.143,0.857,0
This tab,4,5/28/2018,0,0,1,0
Not free,1,5/28/2018,-0.4023,0,0.27,0.73
"Great app for reading Book, I am started to love this App especially that Page curling Physics Rocks.. I haven't seen these Real looking Page curls on any App...",5,5/28/2018,0.8519,0.249,0.751,0
Joking with my little sister how to climb a tree and she is doing good friend at my dads bc I mostly am mud riding the bus comes around might have to go get a shot at mawmaws for easter ttyl and then hurt elbow again cause I don't have good Wi-Fi here at my dads house in hospital,5,5/28/2018,0.7579,0.17,0.778,0.053
"I don't know what you did with this latest update but PLEASE DO NOT UNDO IT! It's running faster and smoother than it ever has, it now takes only a minute to add a book to a collection or open a book, where before it took ten!",4,5/28/2018,0.6842,0.102,0.898,0
Htipl,5,5/28/2018,0,0,1,0
"Bought a book & still unable to download it to read,not happy aince I've plenty of data to download but it's stayed at 0% for 6 hours now",3,5/28/2018,0.3291,0.089,0.911,0
I hate this! it's so laggy and annoying. I have tried deleting this app and yet it won't let me. Please work on this!,1,5/28/2018,-0.8485,0,0.674,0.326
Love to read to pass long roadtrips and things,5,5/28/2018,0.6369,0.344,0.656,0
Amazing,5,5/28/2018,0.5859,1,0,0
Vertical scrolling please! - Still waiting 2018,3,5/28/2018,0.3802,0.341,0.659,0
Had to uninstall and reinstall for each new but book.,3,5/28/2018,-0.4497,0,0.753,0.247
It says it's finished downloading but it never installs. Can't find any reason as to why. I've been a Kindle app user for years and I'm very unhappy that I can't access my book collection now,1,5/28/2018,-0.6297,0,0.889,0.111
My kindle on my phone!,5,5/28/2018,0,0,1,0
Everything is paid. it isn't free. Worst,1,5/28/2018,0.1511,0.3,0.455,0.246
"Worst app,, totally waisting money.",1,5/28/2018,-0.6249,0,0.494,0.506
"I love love love this app... But I have a few suggestions... If there could be a way to favourite books... You know, or segregated them into read and unread as a different category, I'd like that.",4,5/28/2018,0.8765,0.283,0.717,0
A bloated resource hog. Do not attempt to install unless you have patience and the latest in expensive hardware. Amazon should be ashamed.,1,5/28/2018,-0.6597,0.063,0.709,0.228
Good,5,5/28/2018,0.4404,1,0,0
"Fraud app, this app is fraud, they have used my credit card information fraudulently to renew the account with out my permission and have deducted money from my credit card, don't use ur credit card or debit card on this app for any purpose, they save your credientials and use it to take money from your account with out your concent, they ask for approval to use sms at the time of downloading of app and then they use this to take ur banking transaction OTP from your sms box with out your knowledge. Be aware and don't use ur debit card and credit card on this app. Amazon I want money back you fraud. Get back to me with my money.",1,5/28/2018,0.6486,0.14,0.78,0.081
Books are my best friend forever,5,5/28/2018,0.8126,0.649,0.351,0
Energetic,5,5/28/2018,0.4404,1,0,0
Beh,5,5/28/2018,0,0,1,0
Goodaap,4,5/28/2018,0,0,1,0
Superb😎😎😁😁😆😀,5,5/28/2018,0,0,1,0
Its waste because I forgot password when I clicked it given otp but they did not sensed otp code,2,5/28/2018,-0.2263,0,0.894,0.106
Hye,5,5/28/2018,0,0,1,0
Waste....+ nusty,1,5/28/2018,0,0,1,0
That is very easy to use,5,5/28/2018,0.4927,0.39,0.61,0
This my life first step,5,5/28/2018,0,0,1,0
Nice👌,4,5/28/2018,0,0,1,0
Today the application would not open on Huawei p20 pro. It came up with error 505... I've deleted and attempted reinstall -tried clearing cache and data in play store and services. App will download but not install. It was opening before this message reared its ugly head.,4,5/28/2018,-0.6808,0.033,0.846,0.121
Good app for reading,5,5/28/2018,0.4404,0.492,0.508,0
A very very very very very very very much Good app,5,5/28/2018,0.5334,0.277,0.723,0
I like it,5,5/28/2018,0.3612,0.714,0.286,0
I have been reading on it for hours and I can't seem to put my Kindle down after I got this app.,4,5/28/2018,0,0,1,0
👍👍👍,5,5/28/2018,0,0,1,0
Thanks,5,5/28/2018,0.4404,1,0,0
Good,5,5/28/2018,0.4404,1,0,0
I LOVE KINDLE SO MUCH,5,5/28/2018,0.6369,0.583,0.417,0
This is not good at all,1,5/28/2018,-0.3412,0,0.675,0.325
It's good to have it,5,5/28/2018,0.4404,0.42,0.58,0
नथिंग टू से । बिcause.....,5,5/28/2018,0,0,1,0
You don't gave free reading,1,5/28/2018,-0.4023,0,0.597,0.403
Superior app,5,5/28/2018,0.5423,0.778,0.222,0
Not too bad not too good,3,5/28/2018,0.1139,0.308,0.432,0.26
Very good. Love the books. My daughter loved the book.,5,5/28/2018,0.9113,0.623,0.377,0
Nice apps it helps me a lot!,5,5/28/2018,0.69,0.587,0.413,0
All the books we had to buy,1,5/28/2018,0,0,1,0
Nice,5,5/28/2018,0.4215,1,0,0
Loved it thanks amazon for giving me this opportunity to buy free books and to read. I am only 13,5,5/28/2018,0.9432,0.567,0.433,0
This app is coooooooooooooooooooooooool,5,5/28/2018,0,0,1,0
"Reading books on devices are fine. I was having issues with ""Amazon Kindle has Stopped"" trying to Play the Narration on the Mobile (happens everytime I insall on new devces). Solution: copy/move the .axx file via android/data/com.amazon.kindle/files/audible/filename.aax to Download folder, then uninstall Kindle, then reinstall Kindle apk, sync and redownload book, then restart download of Audible Narrration until it locks in 1% of the download, then stop the download and close App, then go to Downloads folder and move back the .aax file to android/data/com.amazon.kindle/files/audible folder that would have at this time recreated itself (does not create via install), reopen Kindle and open book again, start download of Narration and wait until your Notification bar shows the book with play and or play comes up bottom-right in the book, then close Kindle and reopen. Done. Narration should view normal/complete and it will work the way it was intended. Review by Stryker's Lounge | +BJHutton",5,5/28/2018,0.048,0.079,0.856,0.066
This is very good and app,5,5/28/2018,0.4927,0.39,0.61,0
I have fallen in love of kindle. The is the perfect book in this world amazing....,5,5/28/2018,0.7506,0.353,0.536,0.112
Good,5,5/28/2018,0.4404,1,0,0
Spectacular app,5,5/28/2018,0,0,1,0
I hate Amazon ...One of the fake company in the world...I hate Amazon,1,5/28/2018,-0.8442,0.163,0.335,0.502
I LOVE THIS APP!!!,5,5/28/2018,0.7249,0.717,0.283,0
Amazing!,5,5/28/2018,0.6239,1,0,0
"It is the worst book that I have ever seen . STUDYING from it is total time wasting , along with wasting money by buying it from Amazon . IT'S update are always worst . As per review this app is being dislike by many readers it have wasted their money. SO GUYS NEVER USE EVER TO BUY IT FROM AMAZON .",1,5/28/2018,-0.9457,0.058,0.671,0.271
Super,5,5/28/2018,0.5994,1,0,0
This app sucks.,1,5/28/2018,-0.3612,0,0.444,0.556
It's a good reading app😊,5,5/28/2018,0.4404,0.492,0.508,0
It is awesome,5,5/28/2018,0.6249,0.672,0.328,0
"The shopping interface is irritating, but reading on the app is great.",4,5/28/2018,0.6858,0.32,0.567,0.113
I like the app it just took quick to down load but to install it took forever,2,5/28/2018,0.1901,0.104,0.896,0
"I COULD tell you what I think about it, but when I install it, it doesn't install properly. Let me explain - it installs the icon on the screen but not in the ""apps tray""! So when I try to start it, it tries to start and just shuts off after a little bit. It has installed like that 4 times now, and I don't know why.",1,5/28/2018,0.5487,0.058,0.942,0
I love to Kindle,5,5/28/2018,0.6369,0.677,0.323,0
Enjoy this app but it's nearly impossible for me to see the screw. Sometimes even with my brightness all the way up,3,5/28/2018,0.5994,0.211,0.728,0.061
awesome,5,5/28/2018,0.6249,1,0,0
Thanks,4,5/28/2018,0.4404,1,0,0
No comment,1,5/28/2018,-0.296,0,0.312,0.688
If you love reading books then be sure to install this app.,5,5/28/2018,0.7579,0.394,0.606,0
"I LOVE the selection of books. If You have a favourite book, You find it on the kindle. I like that if someone purchases a book in a kindle device, she/he find it on the app.",4,5/28/2018,0.8143,0.204,0.796,0
Good,5,5/28/2018,0.4404,1,0,0
Happy to use Kindle,5,5/28/2018,0.5719,0.552,0.448,0
Is this free?? But i loved it,4,5/28/2018,0.8343,0.663,0.337,0
Nice good,5,5/28/2018,0.6908,1,0,0
awesome!!,5,5/28/2018,0.6892,1,0,0
"Not bad, good for reading books on a device.",3,5/28/2018,0.1139,0.253,0.533,0.214
i think that this app is perfect for reading books specially for those who love reading book...now they don't have to carry a bag full of books only what they have to do just carry a phone..,3,5/28/2018,0.836,0.198,0.802,0
Love the app for reading but somehow the entire app is in grayscale and I can't figure out how to change it back to color. Help?,4,5/28/2018,0.7311,0.211,0.789,0
Love it use it constantly,5,5/28/2018,0.6369,0.512,0.488,0
Worse.very few pages are downloaded as samples and then the app asks to buy the book,1,5/28/2018,0,0,1,0
loved it,5,5/28/2018,0.5994,0.796,0.204,0
Nyc one App for D Books😉,5,5/28/2018,0,0,1,0
I HATE THIS APP,1,5/28/2018,-0.5719,0,0.351,0.649
Good,4,5/28/2018,0.4404,1,0,0
Sala bmw teri,1,5/28/2018,0,0,1,0
I love it....,5,5/28/2018,0.6369,0.808,0.192,0
Good,5,5/28/2018,0.4404,1,0,0
It is a awesome app,5,5/28/2018,0.6249,0.577,0.423,0
Best app ! Great stories.....! :D,4,5/28/2018,0.9315,0.866,0.134,0
I inspired by this,5,5/28/2018,0.4939,0.615,0.385,0
Really really best reading app,5,5/28/2018,0.6976,0.544,0.456,0
Poor,5,5/28/2018,-0.4767,0,0,1
Firstly let me utilize this app,4,5/28/2018,0,0,1,0
nice app,5,5/28/2018,0.4215,0.737,0.263,0
Life is without girls,5,5/28/2018,0,0,1,0
Good,5,5/28/2018,0.4404,1,0,0
Cfgr,5,5/28/2018,0,0,1,0
Maxt,5,5/28/2018,0,0,1,0
I love this App 😍,5,5/28/2018,0.802,0.59,0.41,0
Bakbas,2,5/28/2018,0,0,1,0
Nice,5,5/28/2018,0.4215,1,0,0
Bad stinks terrible don't download,3,5/28/2018,-0.8225,0,0.189,0.811
Awesome,4,5/28/2018,0.6249,1,0,0
Write choice,5,5/28/2018,0,0,1,0
this is the best studying app......I will sure apperciate this app because in my free time I can go through kindle and learn a story.....very helpful app thanks for making this type of app😍😍😚😚😚😚😎😎😎,5,5/28/2018,0.9382,0.365,0.635,0
Good,5,5/28/2018,0.4404,1,0,0
That is best reading app,5,5/28/2018,0.6369,0.512,0.488,0
Nice,5,5/28/2018,0.4215,1,0,0
No kannada books... 😑,1,5/28/2018,-0.296,0,0.645,0.355
Best,5,5/28/2018,0.6369,1,0,0
Ban don't install,5,5/28/2018,-0.5574,0,0.357,0.643
Nice,4,5/28/2018,0.4215,1,0,0
Awesome app,5,5/28/2018,0.6249,0.804,0.196,0
Gives me great books I love it,5,5/28/2018,0.8519,0.675,0.325,0
Amzing it is ❤,4,5/28/2018,0,0,1,0
Worsr,1,5/28/2018,0,0,1,0
"Not for me sorry, I read a book then have something read a book to me duh.",1,5/28/2018,0.0572,0.086,0.914,0
It is really excellent,5,5/21/2018,0.6115,0.571,0.429,0
"Download, gets to 100% won't finish, cancel, download, gets to 100% won't finish, cancel, download, gets to 100% won't finish, cancel. This problem has been going on for months now. Contacted Amazon directly but never got anything beyond a ""thank you for"" bot reply. The app I got to download comics won't reliably let me download comics! If that's not a huge problem then I don't know what is. Update: New new version, still does not reliably download. I'm on my third attempt to download Hellboy in Hell Vol 1. Is it because I'm downloading something to read at bedtime? Do the servers get tired at night?",1,5/21/2018,-0.9421,0.072,0.767,0.162
It would be nice if we can have a summary/description of each book that's in the library without having to download the entire book when choosing what book to read.,3,5/21/2018,0.4215,0.091,0.909,0
Nice 📖 app for the children,5,5/21/2018,0.4215,0.318,0.682,0
This doesn't help me at all we need to put some easy books for the people to not read and write that good,1,5/21/2018,0.5487,0.207,0.713,0.08
Nice,3,5/21/2018,0.4215,1,0,0
Many Pages Not Showing Up In Books On Chrome Os,3,5/21/2018,0,0,1,0
Very poorly made app... Very disappointed,1,5/21/2018,-0.5256,0,0.596,0.404
I don't know what to say,1,5/21/2018,0,0,1,0
It was probably a good app but it didn't have what I was looking for,3,5/21/2018,0.2382,0.14,0.86,0
A decent platform to start e book reading,4,5/21/2018,0,0,1,0
Very nice,5,5/21/2018,0.4754,0.756,0.244,0
Cannot be uninstalled keeps updating don't use it,1,5/21/2018,0,0,1,0
Can I read free ? Or should I have to pay for it?,5,5/21/2018,0.504,0.28,0.613,0.107
Like this,5,5/21/2018,0.3612,0.714,0.286,0
I have had kindle for several years and cannot say enough good about it!,5,5/21/2018,-0.4015,0,0.816,0.184
It's downloading,4,5/21/2018,0,0,1,0
The app isn't working at all.,1,5/21/2018,0,0,1,0
just two wards wow and thanks,5,5/21/2018,0.7717,0.626,0.374,0
Amazing,5,5/21/2018,0.5859,1,0,0
Some books i dont get free but still i like to read the other books,5,5/21/2018,0.3397,0.202,0.683,0.115
Excellent app. It just made my day. A perfect app for me to sit back and read some interesting books.,5,5/21/2018,0.8779,0.387,0.613,0
I love it,5,5/21/2018,0.6369,0.808,0.192,0
usuful app,5,5/21/2018,0,0,1,0
Good,5,5/21/2018,0.4404,1,0,0
not interested,1,5/21/2018,-0.3089,0,0.307,0.693
It's amazing,5,5/21/2018,0.5859,0.792,0.208,0
Excellent app for a reader,5,5/21/2018,0.5719,0.552,0.448,0
Fantastic app for book lovers. Wide variety and great deals make this app worth recommending.,5,5/21/2018,0.9186,0.542,0.458,0
"Well, a lot of people seem to like this app. I found an ebook I was interested in so I downloaded this app and purchased it. It won't let me download it and I can't get it to work. Apparently, a lot of people are having problems like these. At least for me, this was a terrible waste of my money so I'm giving it 1 star. Seriously regret ever getting this app.",1,5/21/2018,-0.1585,0.155,0.683,0.163
This is a good app,5,5/21/2018,0.4404,0.492,0.508,0
Excellant,5,5/21/2018,0,0,1,0
This is good for reading,5,5/21/2018,0.4404,0.42,0.58,0
Osm,5,5/21/2018,0,0,1,0
NOOOOOOOOOÒOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OOOOOOOOOOOOOOOOOO,1,5/21/2018,0,0,1,0
Can you show More pages TO READ( EXEPT 8 OR 17 PAGES TO READ),1,5/21/2018,0,0,1,0
Fantastic,5,5/21/2018,0.5574,1,0,0
I have had this app on all my previous tablets but won't open on my new tablet! Just says it has stop working!,1,5/21/2018,-0.5242,0,0.861,0.139
This app shows bad ads,5,5/21/2018,-0.5423,0,0.533,0.467
awesome,5,5/21/2018,0.6249,1,0,0
Nic,5,5/21/2018,0,0,1,0
Superb,4,5/21/2018,0.6249,1,0,0
"Update: latest version has now stopped syncing on s7 edge with oreo. Grrr! Worked well on s7 & nougat, but last update is terrible. The hard sell is annoying, but more annoying is the laggy scrolling / paging and constant crashes on my tab pro 2 with kitkat, my preferred reader. Ive spent a lot of money on my kndle library, and should have a clean light reading experience, but this app just keeps getting worse! Very annoyed!",1,5/21/2018,-0.9801,0.052,0.631,0.318
Bad When I entered the answer so it says it is not correct but it is. I hate this app,1,5/21/2018,-0.8074,0,0.687,0.313
It is helpful app,3,5/21/2018,0.4215,0.483,0.517,0
This app is great for reading books.. a must-download app..👌👍✌,5,5/21/2018,0.6249,0.339,0.661,0
Good to handle.,5,5/21/2018,0.4404,0.592,0.408,0
Baler app,5,5/21/2018,0,0,1,0
Gives nice knowledge,5,5/21/2018,0.4215,0.583,0.417,0
This app is beautiful,5,5/21/2018,0.5994,0.565,0.435,0
Best for reading,5,5/21/2018,0.6369,0.677,0.323,0
Excellent,5,5/21/2018,0.5719,1,0,0
Excellent,5,5/21/2018,0.5719,1,0,0
Good ap,5,5/21/2018,0.4404,0.744,0.256,0
It's very nice app I love it,5,5/21/2018,0.8204,0.654,0.346,0
awesome app 👌👌👌👌💐💐💐,5,5/21/2018,0.6249,0.672,0.328,0
Nice app accha kharcha hai,5,5/21/2018,0.4215,0.412,0.588,0
"This app is perfect for reading ebooks. And the new improved edition is really cool. The UI is refreshing, to be honest before this update this app wasn't great. But now it's cool. And I don't why people complain they have issues saying can't access the newly ordered ebooks. I feel they just don't know how to handle the app. If it doesn't sync automatically, just sync is manually. Go to the Menu section and hit sync, the problem is solved.",4,5/21/2018,0.8539,0.184,0.755,0.061
Lol Pizza wut,5,5/21/2018,0.4215,0.583,0.417,0
After the last update I can't even download a book. I've tried 17 times in a row. I'm the only one on my Wifi I should not be having this problem. Seems to me this app just gets continually worse.,1,5/21/2018,-0.7371,0,0.845,0.155
Nice,5,5/21/2018,0.4215,1,0,0
It's kind of cool and helpful.,5,5/21/2018,0.5868,0.546,0.454,0
I think it is awesome,5,5/21/2018,0.6249,0.577,0.423,0
The app never downloaded. Just says download pending,1,5/21/2018,0,0,1,0
You can read any kind of genre you want... Its really nice,5,5/21/2018,0.4754,0.219,0.781,0
I really like how I can switch between my Kindle and this app just read where I left off but I think dictionary needs to improve,5,5/21/2018,0.6953,0.223,0.777,0
I dislike that it is way too hard to find free books. I ended up with charges when I thought it was free. So not planning to use it any more and may unistall and not use the Fire I have either.,2,5/21/2018,0.5478,0.185,0.685,0.131
I love it. I enjoy reading books on the go when I can squeeze it in.,4,5/21/2018,0.8126,0.402,0.598,0
Booklovers' delight.,5,5/21/2018,0.5994,0.796,0.204,0
Noerr,3,5/21/2018,0,0,1,0
The interface is stupid. And it uses its own menu for sharing which only shows several apps. Why?!,3,5/21/2018,-0.2244,0.124,0.711,0.164
I love this app. You get free books and a lot more.,5,5/21/2018,0.8176,0.484,0.516,0
"Doesn't work on my Samsung Galaxy 8. At all. Won't sync, won't even access their own store. Too buggy.",1,5/21/2018,0,0,1,0
"We have an actual Kindle, and have installed this app on an android phone and tablet, and an iphone and ipad. This app works perfectly on all of them, allowing us to read almost anywhere we are!",5,5/21/2018,0.6696,0.111,0.889,0
Such a great app with massive library to choose from!,5,5/21/2018,0.6588,0.354,0.646,0
👍,5,5/21/2018,0,0,1,0
No,3,5/21/2018,-0.296,0,0,1
App is crashing,1,5/21/2018,0,0,1,0
LOVE the music,5,5/21/2018,0.7125,0.712,0.288,0
It is very nice app,5,5/21/2018,0.4754,0.436,0.564,0
It's is like I can just go to sleep and wake to myself so happy,5,5/21/2018,0.8042,0.376,0.624,0
"There is a book about me and my sis ""The lyrical tales"" plz read it",4,5/21/2018,0.0772,0.091,0.909,0
I keep having issues with this app,2,5/21/2018,0,0,1,0
Love it. I can read anywhere.,5,5/21/2018,0.6369,0.512,0.488,0
"Hope there'll be a lot of free christian books:) Thank u, more power and God bless!!",3,5/21/2018,0.9253,0.591,0.409,0
Thanks,5,5/21/2018,0.4404,1,0,0
Worst app,1,5/21/2018,-0.6249,0,0.196,0.804
Google it,5,5/21/2018,0,0,1,0
I really love this app,5,5/21/2018,0.6697,0.6,0.4,0
"Good app, could be better. For example, I couldn't find any of my lists, wishlist or whatever.",3,5/21/2018,0.7003,0.293,0.707,0
I want this off my phone. I did not ask for or want this app and I can not remove it. This is a garbage space fill app. I would prefer to hold a book in my hand then use this app.,1,5/21/2018,0.5859,0.149,0.851,0
Well 😣,1,5/21/2018,0.2732,0.512,0.488,0
Thanks,5,5/21/2018,0.4404,1,0,0
Very very gud app. Really very nice collection of novels and best for travel also,5,5/21/2018,0.8211,0.368,0.632,0
App will not download any books,1,5/21/2018,0,0,1,0
Excellent,5,5/21/2018,0.5719,1,0,0
Simply a view of world library,5,5/21/2018,0,0,1,0
Does not support text to speech and printing the bought books.,1,5/21/2018,-0.3089,0,0.816,0.184
Has many questions,2,5/21/2018,0,0,1,0
😃good,5,5/21/2018,0,0,1,0
Why is this mandatory on our phones? Ugh.,1,5/21/2018,-0.3453,0.135,0.59,0.275
Looks good I can work with good.,4,5/21/2018,0.7003,0.592,0.408,0
Great app. I love the clock in the upper left corner. Very helpful.,3,5/21/2018,0.908,0.559,0.441,0
It has a good brand name,4,5/21/2018,0.4404,0.42,0.58,0
It's fulfill my requirement,5,5/21/2018,0.4404,0.492,0.508,0
Free books,5,5/21/2018,0.5106,0.767,0.233,0
I love kindle fire app because I can read anywhere.,5,5/21/2018,0.4215,0.333,0.476,0.19
App doesn't work since last update,1,5/21/2018,0,0,1,0
Love it,5,5/21/2018,0.6369,0.808,0.192,0
It's good,5,5/21/2018,0.4404,0.744,0.256,0
Usefully,5,5/21/2018,0.4215,1,0,0
Not able to download any book on Kindle unlimited. Oneplus6,1,5/21/2018,0,0,1,0
Nice,5,5/21/2018,0.4215,1,0,0
Nice app,5,5/21/2018,0.4215,0.737,0.263,0
Good app.But plz add science encyclopedia's and books.I like them please reply to my comment and i am a big follower of amazon kindle.Best app for reading plz download everyone.....Best..,5,5/21/2018,0.8402,0.353,0.647,0
The worst app ever seen,1,5/21/2018,-0.6249,0,0.494,0.506
