Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,I enjoy having hundreds of books at my disposal.
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,Yes it is a very good app
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,Good reading app. Happy they finally added a filtering system for separating samples and purchased books and prime reading books
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,Books load fast. Keeps all my hooks in a virtual library save so much room
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,3,,Is ok
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,Very very useful book I love this app
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,"I'm a Kindle reader and I absolutely LOVE it. Books are always at my ""fingertips""!"
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,7.15.0.90,5,,Great
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.10.0.116,5,,It has books. Many are free. There is nothing further to be said This is my most-used app by several orders of magnitude...
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,4,,"It's like, learnt to shared"
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Cool
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,,5,,Great app
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,3,,"Pretty good content selection for Prime members, but this apps functions and usability is mediocre. For instance, you can't easily return a book to the Prime library. The only way I've found to do that is to download a new book, and if you've got your limit, it prompts you to return a book first. So you constantly have to shuffle and exchange books as you browse. I suppose this isn't an issue if you buy the ebooks, but as tool to enjoy their Prime offerings, it's ridiculously cumbersome."
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,5,,Is the perfect app for when your bored
Google Play,English,9/30/2018,com.amazon.kindle,Amazon Kindle,2.02E+13,Amazon Mobile LLC,,8.11.0.57,1,,Bakwaas
