App Annie Intelligence
Report,Usage & Engagement: Reviews
App ID,com.amazon.kindle
App,Amazon Kindle
Version,All Versions
Market,Google Play
Language,English
Total Reviews,1690
Average Rating,3.8
Search Term,
Start Date,2019-05-01
End Date,2019-05-31
Date Generated,2019-06-15 15:29:32 PDT

Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,1,,worst
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,Love this app i can take it
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,"yadav,g"
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,Good
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,5,,wonderful
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,Wonderful enjoyable way to read.
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,love kindle I'm so glad they put the store back to black 🙂
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,1,,Crashes all the time. No practical support by Amazon. It seems it is a known issue with Lenovo Tab 4. With every new system upgrade problem reappears.
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,,1,,very 👎👎👎👎👎👎👎
Google Play,English,2019-05-31,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.18.0.22,5,,I now love reading!!
