App Annie Intelligence
Report,Usage & Engagement: Reviews
App ID,com.amazon.kindle
App,Amazon Kindle
Version,All Versions
Market,Google Play
Language,English
Total Reviews,1308
Average Rating,3.9
Search Term,
Start Date,2018-11-01
End Date,2018-11-30
Date Generated,2019-06-15 15:33:50 PDT

Platform,Language,Date,App ID,App Name,Publisher ID,Publisher Name,User,Version,Rating,Title,Review
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,7.3.0.45,1,,U sux
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.10.0.116,5,,"The best app on my phone, I'd be lost without it! Easy to use with awesome features. 5*"
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.10.0.116,3,,Don't. Need it now.
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.9.0.72,5,,Love it!!!
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.12.0.59,5,,Great application highly recommend. Not worth to purchase a Kindle reader.
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.12.0.59,5,,Best app to read books. There are many free book too
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.12.0.59,2,,Frustrating. Can't send my books on pdf to my kindle account at all. Can't send it from the android nor through email.
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.12.0.59,2,,Footer for Page number and % if book read no longer appears on pages on Android
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.13.0.57,5,,Since this last update I can't access my library. Every time I touch the library tab the app closes.
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.12.0.59,5,,I couldn't get through my day without my Kindle books.
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.13.0.57,5,,Works great. Syncing between devices could be better(sometimes it only sees your device's furthest page instead of overall
Google Play,English,2018-11-30,com.amazon.kindle,Amazon Kindle,20200000195533,Amazon Mobile LLC,,8.8.0.54,5,,With kindle on my phone I always have my book with me. Very handy for Dr appointments and other waiting periods.
